Comment;Sentimento;texto_limpo;y;User Verified;Thumbnail;Comment ID;Profile URL;Comment URL;Comment_limpo;Predicao;Unnamed: 0;Unnamed: 1;Name;Username;Profile ID;Date;Likes;Classe;Validado
Icônico 😍;Positivo;icônico encantado;1;no;https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/482640948_588836567483895_3043078006936623560_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=fzdk4kZ_8KoQ7kNvgGJgVbv&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYE5QIitf0KVPC4zeY__qwbvAOXlI_poJw7NVREYblJ69g&oe=67F459E3&_nc_sid=0985b0;18401285980099029;https://www.instagram.com/hugocesarlg;https://www.instagram.com/p/DH88xCaR1oj/c/18401285980099029;icônico encantado;1.0;;;;;;;;;
Belíssima! Eu amo, sabe? E eu amo essa linha Todo Dia!;Positivo;belíssima eu amo sabe e eu amo essa linha todo dia;1;no;https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/486159688_829220652737439_511325834884215415_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=ak2lEsOvNrIQ7kNvgHKk03N&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYHqeY_RBGKJ_DnSF-_dFDG3-sHPOCdVcaclYrmUKPo2ug&oe=67F45E70&_nc_sid=0985b0;17961052277870185;https://www.instagram.com/eupauliinho;https://www.instagram.com/p/DH88xCaR1oj/c/17961052277870185;belíssima eu amo sabe e eu amo essa linha todo dia;0.0;;;;;;;;;
Boaaaa 💐;Positivo;boaa;1;no;https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/477136794_2414795732231813_6021309161982164249_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=QXbSq7JqE4AQ7kNvgGldKPC&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYH6atLkilcYf29Z2VwnzEZssIU6P0aMn9aEmO5w0kZQ9A&oe=67F47BC0&_nc_sid=0985b0;18104438605499958;https://www.instagram.com/th.xvr;https://www.instagram.com/p/DH88xCaR1oj/c/18104438605499958;boaa;0.0;;;;;;;;;
É linda demais 😍😍;Positivo;é linda demais encantado encantado;1;no;https://scontent-fra5-2.cdninstagram.com/v/t51.2885-19/459028920_493497553575177_1039576810615262090_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=_8iCq_dlwu8Q7kNvgFGZaA2&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYHfYxRm6NLXFICW_e22wXT373dz4BRVXsDh6Np_-NMXow&oe=67F44512&_nc_sid=0985b0;18076535650787323;https://www.instagram.com/carolericaa;https://www.instagram.com/p/DH88xCaR1oj/c/18076535650787323;é linda demais encantado encantado;1.0;;;;;;;;;
Diva 👏🏼;Positivo;diva aplauso;1;no;https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/372983630_846196946625032_7305554572270963185_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=NDtoAbY0FCgQ7kNvgHUCMlt&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYGRPXjNidJRhuWO_fGE88TIY64uXzAHQmLr6zu2JQlMKQ&oe=67F4467D&_nc_sid=0985b0;17870975946241757;https://www.instagram.com/rsacristina;https://www.instagram.com/p/DH88xCaR1oj/c/17870975946241757;diva aplauso;1.0;;;;;;;;;
🧡😍;Positivo;encantado;1;no;https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/357813327_596644779123522_5730223761893842663_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=N7VLpVkPrzoQ7kNvgEMgDCh&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYGXUs8gtFt-JxLHteZenn6SSU7CZvW-1XRLPzQECuRWLA&oe=67F460DE&_nc_sid=0985b0;17884839969148089;https://www.instagram.com/naturabroficial;https://www.instagram.com/p/DH88xCaR1oj/c/17884839969148089;encantado;1.0;;;;;;;;;
🧡;Positivo;;1;no;https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/357813327_596644779123522_5730223761893842663_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=N7VLpVkPrzoQ7kNvgEMgDCh&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYGXUs8gtFt-JxLHteZenn6SSU7CZvW-1XRLPzQECuRWLA&oe=67F460DE&_nc_sid=0985b0;17943123992971788;https://www.instagram.com/naturabroficial;https://www.instagram.com/p/DH88xCaR1oj/c/17943123992971788;;0.0;;;;;;;;;
😍😍🧡;Positivo;encantado encantado;1;no;https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/357813327_596644779123522_5730223761893842663_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=N7VLpVkPrzoQ7kNvgEMgDCh&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYGXUs8gtFt-JxLHteZenn6SSU7CZvW-1XRLPzQECuRWLA&oe=67F460DE&_nc_sid=0985b0;18075332350698238;https://www.instagram.com/naturabroficial;https://www.instagram.com/p/DH88xCaR1oj/c/18075332350698238;encantado encantado;1.0;;;;;;;;;
Iza você linda;Positivo;iza você linda;1;no;https://scontent-fra5-2.cdninstagram.com/v/t51.2885-19/479513280_627839973124927_866353661192629234_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=CG9Id6kbhWgQ7kNvgEErI4u&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYH3LFH0jr15mHOFeeWB0MN3WuJl1W7MuelD-XJVl-gykA&oe=67F44735&_nc_sid=0985b0;17985416075805613;https://www.instagram.com/izabarros32;https://www.instagram.com/p/DH88xCaR1oj/c/17985416075805613;iza você linda;0.0;;;;;;;;;
👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾;Positivo;aplauso aplauso aplauso aplauso aplauso aplauso aplauso;1;no;https://scontent-fra3-2.cdninstagram.com/v/t51.2885-19/142373721_818277012085247_1720919018295992085_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=s-xxvrLOz-AQ7kNvgH6zX-h&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYH1DVBs3dMz2ZTeaHud_V8nZYqkjS_PZ_7Gx2myzZ-pmw&oe=67F45E49&_nc_sid=0985b0;18091671016504435;https://www.instagram.com/filipetraveler;https://www.instagram.com/p/DH88xCaR1oj/c/18091671016504435;aplauso aplauso aplauso aplauso aplauso aplauso aplauso;1.0;;;;;;;;;
Amei 😍😍;Positivo;amei encantado encantado;1;no;https://scontent-fra5-2.cdninstagram.com/v/t51.2885-19/159359422_456198545630719_7933227340616719866_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=w0WlNwZtAccQ7kNvgGntHum&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYHZ5vx5RKDFfG7HhZ0u3jgCmEKWHaATrMgxk8FsTU6atw&oe=67F472DF&_nc_sid=0985b0;18340252789085436;https://www.instagram.com/bethdamazio_massoterapeuta;https://www.instagram.com/p/DH88xCaR1oj/c/18340252789085436;amei encantado encantado;1.0;;;;;;;;;
Maravilhosa demais… que linha incrível! Já queremos conhecer para nossos filhos ❤️👏🏽👏🏽;Positivo;maravilhosa demais que linha incrível já queremos conhecer para nossos filhos amor aplauso aplauso;1;no;https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/467573670_564869459525561_6195867247206977949_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=BRUbvjVu7MoQ7kNvgGJrTLz&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYHqQRDJ2DiznBB3yF76aDo22WsLQceVae7irHomQrd9EQ&oe=67F44C4F&_nc_sid=0985b0;17955471608926146;https://www.instagram.com/paisde3_;https://www.instagram.com/p/DH88xCaR1oj/c/17955471608926146;maravilhosa demais que linha incrível já queremos conhecer para nossos filhos amor aplauso aplauso;1.0;;;;;;;;;
❤️❤️❤️ love;Positivo;amor amor amor  love;1;no;https://scontent-fra5-2.cdninstagram.com/v/t51.2885-19/487238101_2705035343029027_7985667810632722504_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=VeW3dTv4NywQ7kNvgH3B0Sa&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYGIBm_MCu1SbDNjSSVyAKaNvtJmm8n06f-q_h0i9Ptp9Q&oe=67F44B2C&_nc_sid=0985b0;18023899733662407;https://www.instagram.com/alexandramartinsbn;https://www.instagram.com/p/DH88xCaR1oj/c/18023899733662407;amor amor amor  love;1.0;;;;;;;;;
essa lace eh a coisa mais linda do mundo;Positivo;essa lace eh a coisa mais linda do mundo;1;no;https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/481023755_659828940052817_4405889019357199654_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=mxrsQ2rQrzsQ7kNvgGSnc4t&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYG7IUY-7EOktYuwzi4eN0DpnvbTf1fR_teHm0AqXm9aog&oe=67F44631&_nc_sid=0985b0;17980663112683984;https://www.instagram.com/gherhardd;https://www.instagram.com/p/DH88xCaR1oj/c/17980663112683984;essa lace eh a coisa mais linda do mundo;0.0;;;;;;;;;
Linda.;Positivo;linda;1;no;https://instagram.fbsr6-2.fna.fbcdn.net/v/t51.2885-19/464760996_1254146839119862_3605321457742435801_n.png?stp=dst-jpg_e0_s150x150_tt6&cb=8577c754-c2464923&_nc_ht=instagram.fbsr6-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QHCtvaU8A0phMEw7M1s0C6T2teu8f2qKY6ISlOj7mcxUMbTGmGRyxP8eggX8vBAl0w&_nc_ohc=tgOCEj-H9bIQ7kNvgE3Y1BY&_nc_gid=wPNMsk47nEyHDGRMNthf0g&edm=AJ9x6zYBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.3-ccb7-5-cb8577c754-c2464923&oh=00_AYHKmr3iiJf80M2i9VGUQJujliNw79yc0EO4lauYZyjwpw&oe=67F45A28&_nc_sid=65462d;18052807799332547;https://www.instagram.com/fatimaespinosa86176gmail.com2;https://www.instagram.com/p/DH88xCaR1oj/c/18052807799332547;linda;0.0;;;;;;;;;
🤎🤎👏🏽👏🏽;Positivo;aplauso aplauso;1;no;https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/441133507_1498201837777165_4933809458113295716_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=bCw_qYjxh7QQ7kNvgERAq7U&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYFDK-JjWmKXb9coKRwofxqHMMlaaT9atq6wB1-2UegaiA&oe=67F47B5F&_nc_sid=0985b0;18056745221322377;https://www.instagram.com/m.paula.consultora;https://www.instagram.com/p/DH88xCaR1oj/c/18056745221322377;aplauso aplauso;1.0;;;;;;;;;
@michelineramalho A nova linha Tododia Jambo Rosa e Flor de Caju nasceu da força e da ancestralidade preta. Vem sentir essa energia com a gente 🧡;Positivo;a nova linha tododia jambo rosa e flor de caju nasceu da força e da ancestralidade preta vem sentir essa energia com a gente;1;no;https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/357813327_596644779123522_5730223761893842663_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=N7VLpVkPrzoQ7kNvgEMgDCh&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYGXUs8gtFt-JxLHteZenn6SSU7CZvW-1XRLPzQECuRWLA&oe=67F460DE&_nc_sid=0985b0;18081286582710880;https://www.instagram.com/naturabroficial;https://www.instagram.com/p/DH88xCaR1oj/c/18081286582710880;a nova linha tododia jambo rosa e flor de caju nasceu da força e da ancestralidade preta vem sentir essa energia com a gente;0.0;;;;;;;;;
Investir milhões em campanhas e divulgação e não tem produto pra atender os consumidores .. palhaçada;Negativo;investir milhões em campanhas e divulgação e não tem produto pra atender os consumidores  palhaçada;-1;no;https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/273110719_300357192115680_474549318762026155_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=ubmbTfJcjlkQ7kNvgGQJpAQ&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYEcMS_34eJU6DNe-2QMas0KOtPEDGQqPAXuV0_VvZdy5g&oe=67F47046&_nc_sid=0985b0;18493207606051702;https://www.instagram.com/ludmilaribeiro20;https://www.instagram.com/p/DH88xCaR1oj/c/18493207606051702;investir milhões em campanhas e divulgação e não tem produto pra atender os consumidores  palhaçada;0.0;;;;;;;;;
